name,parent,state,country
"Companies (Competitors, Suppliers, Partners)",,1,US
Argentina Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Fábrica Argentina de Aviones (FAdeA),Argentina Companies,3,US
INVAP,Argentina Companies,3,US
Australia Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Acacia Systems,Australia Companies,3,US
Airspeed,Australia Companies,3,US
Allied Data Systems,Australia Companies,3,US
AME Systems,Australia Companies,3,US
AMOG Consulting,Australia Companies,3,US
Advanced Magnetic Ranges Australia (AMRA),AMOG Consulting,4,US
AOS Group,Australia Companies,3,US
Aquabotix,Australia Companies,3,US
ArchTIS,Australia Companies,3,US
ASC Shipbuilding,Australia Companies,3,US
Ascent Vision,Australia Companies,3,US
Aurecon,Australia Companies,3,US
Austal,Australia Companies,3,US
Australian Defence Industries (ADI),Australia Companies,3,US
Australian Maritime Shipbuilding Export Group (AMSEG),Australia Companies,3,US
Australian Munitions (AM),Australia Companies,3,US
Axiom Precision Manufacturing,Australia Companies,3,US
Bisalloy Steels,Australia Companies,3,US
Blackbird Ventures,Australia Companies,3,US
Cablex,Australia Companies,3,US
Calytrix Technologies,Australia Companies,3,US
CEA Technologies,Australia Companies,3,US
CHC Australia,Australia Companies,3,US
Citadel Group,Australia Companies,3,US
Clearbox Systems,Australia Companies,3,US
Conflux Technology,Australia Companies,3,US
Cyborg Dynamics,Australia Companies,3,US
Daronmont,Australia Companies,3,US
DEWC,Australia Companies,3,US
DMTC,Australia Companies,3,US
DroneShield,Australia Companies,3,US
DST Group,Australia Companies,3,US
Eagle Australasia,Australia Companies,3,US
ECLIPS,Australia Companies,3,US
Electro Optic Systems,Australia Companies,3,US
Audacy Corporation,Electro Optic Systems,4,US
Collinear,Electro Optic Systems,4,US
CNX System,Collinear,5,US
EM Solutions,Electro Optic Systems,4,US
EOS Defence Systems,Australia Companies,3,US
Ferra,Australia Companies,3,US
Fleet Space Technologies,Australia Companies,3,US
GaardTech,Australia Companies,3,US
Gentium Solutions,Australia Companies,3,US
Gilmour Space,Australia Companies,3,US
Grok Ventures,Australia Companies,3,US
Helicopter Logistics,Australia Companies,3,US
HeliMods,Australia Companies,3,US
Heston MRO,Australia Companies,3,US
HI Fraser,Australia Companies,3,US
Indianic Group,Australia Companies,3,US
Kennards Hire,Australia Companies,3,US
Kennard Family,Kennards Hire,4,US
Kinetic Fighting,Australia Companies,3,US
K-TIG,Australia Companies,3,US
Lintek,Australia Companies,3,US
Lynas,Australia Companies,3,US
Macquarie Capital,Australia Companies,3,US
MagniX,Australia Companies,3,US
Marand,Australia Companies,3,US
Memko,Australia Companies,3,US
Microflite,Australia Companies,3,US
Myriota,Australia Companies,3,US
Naeco,Australia Companies,3,US
Naval Ship Management,Australia Companies,3,US
NIOA,Australia Companies,3,US
Nova Systems,Australia Companies,3,US
Optus,Australia Companies,3,US
Optus-11,Optus,4,US
Orbital UAV,Australia Companies,3,US
Pennant Australasia,Australia Companies,3,US
Praesidium Global,Australia Companies,3,US
PREDICT Australia,Australia Companies,3,US
Quickstep,Australia Companies,3,US
RFDesign,Australia Companies,3,US
Rusada,Australia Companies,3,US
Ryan Aerospace,Australia Companies,3,US
Saber Astronautics,Australia Companies,3,US
Seeing Machines,Australia Companies,3,US
Sigma Bravo,Australia Companies,3,US
Silentium Defence,Australia Companies,3,US
Sky and Space Global,Australia Companies,3,US
SPEE3D,Australia Companies,3,US
Speedcast International,Australia Companies,3,US
Swoop Aero,Australia Companies,3,US
Synthesis Technologies,Australia Companies,3,US
SYPAQ Systems,Australia Companies,3,US
TAE Aerospace,Australia Companies,3,US
TAFE NSW,Australia Companies,3,US
Tagai Management Consultants,Australia Companies,3,US
Tenix / AMECON,Australia Companies,3,US
Thomas Global Systems,Australia Companies,3,US
Toll Helicopters,Australia Companies,3,US
Trusted Autonomous Systems Cooperative Research Centre (DCRC),Australia Companies,3,US
Universal Motion Simulator,Australia Companies,3,US
Varley,Australia Companies,3,US
Varley Rafael Australia,Varley,4,US
Xenon Systems,Australia Companies,3,US
Austria Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Diamond Aircraft Industries,Austria Companies,3,US
Dimetor,Austria Companies,3,US
Frequentis,Austria Companies,3,US
Schiebel,Austria Companies,3,US
Scotty Superior SATCOM Solutions,Austria Companies,3,US
Bangladesh Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Chittagong Dry Dock Limited (CCDL),Bangladesh Companies,3,US
Belarus Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Baranovichi Aircraft Repair Plant (BARP) No. 558,Belarus Companies,3,US
JSC Agat-Control Systems,Belarus Companies,3,US
JSC TsNIP,Belarus Companies,3,US
KB Radar,Belarus Companies,3,US
MKZT,Belarus Companies,3,US
TSP OKB,Belarus Companies,3,US
Volat (OJSC Minsk Wheeled Tractor Plant),Belarus Companies,3,US
Belgium Companies,"Companies (Competitors, Suppliers, Partners)",2,US
AeroSimulators Group,Belgium Companies,3,US
AIRobot,Belgium Companies,3,US
ALX Systems,Belgium Companies,3,US
Asco Industries,Belgium Companies,3,US
Belgium Naval & Robotics,Belgium Companies,3,US
BMT Group,Belgium Companies,3,US
Celestia Technologies,Belgium Companies,3,US
Cockerill,Belgium Companies,3,US
Fabrique Nationale Herstal,Belgium Companies,3,US
Flanders Ship Repair,Belgium Companies,3,US
Hexagon,Belgium Companies,3,US
Noordzee Helikopters Vlaanderen (NHV) Group,Belgium Companies,3,US
OIP Sensor Systems,Belgium Companies,3,US
SABCA,Belgium Companies,3,US
Sabena Aerospace,Belgium Companies,3,US
Xenics,Belgium Companies,3,US
Brazil Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Akaer,Brazil Companies,3,US
Alianca Eletroquimica (AEQ),Brazil Companies,3,US
Ares,Brazil Companies,3,US
Avibras,Brazil Companies,3,US
Desenvolvimento Aeronautico (DESAER),Brazil Companies,3,US
Eleb,Brazil Companies,3,US
Embraer,Brazil Companies,3,US
Boeing/Embraer - Defense,Embraer,4,US
EmbraerX,Embraer,4,US
Emgepron,Brazil Companies,3,US
Helibras,Brazil Companies,3,US
IACIT,Brazil Companies,3,US
Laflamme Aero,Brazil Companies,3,US
Sistemas Integrados de Alto Teor Tecnológico (SIATT),Brazil Companies,3,US
Tempest Security Intelligence,Brazil Companies,3,US
Bulgaria Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Canada Companies,"Companies (Competitors, Suppliers, Partners)",2,US
AerialX,Canada Companies,3,US
Armament Technology,Canada Companies,3,US
Avcorp,Canada Companies,3,US
Blackcomb Helicopters,Canada Companies,3,US
Bluedrop Training & Simulation,Canada Companies,3,US
Bombardier,Canada Companies,3,US
Bravo Zulu,Canada Companies,3,US
CAE,Canada Companies,3,US
Calian Group,Canada Companies,3,US
Comprehensive Training Solutions International (CTS),Calian Group,4,US
SatService,Calian Group,4,US
Canadian Technology Systems,Canada Companies,3,US
Cansel,Canada Companies,3,US
CarteNav,Canada Companies,3,US
Cellula Robotics,Canada Companies,3,US
DART Aerospace,Canada Companies,3,US
DarwinAI,Canada Companies,3,US
De Havilland Aircraft,Canada Companies,3,US
Draganfly Inc,Canada Companies,3,US
Drone Delivery Canada,Canada Companies,3,US
Gastops,Canada Companies,3,US
GeoSpectrum Technologies,Canada Companies,3,US
GHGSat,Canada Companies,3,US
Heli-One,Canada Companies,3,US
Heroux-Devtek,Canada Companies,3,US
Indal Technologies,Canada Companies,3,US
International Armored Group (IAG),Canada Companies,3,US
Irving Shipbuilding,Canada Companies,3,US
JSK Naval Support,Canada Companies,3,US
Kepler Communications,Canada Companies,3,US
KF Aerospace,Canada Companies,3,US
Kraken Robotic Systems,Canada Companies,3,US
Learjet,Canada Companies,3,US
Longview Aviation Capital Corp,Canada Companies,3,US
"Macdonald, Dettwiler, and Associates",Canada Companies,3,US
Magellan Aerospace,Canada Companies,3,US
Northstar,Canada Companies,3,US
Onex,Canada Companies,3,US
Philippine Metals Inc (PMI),Canada Companies,3,US
Pratt & Whitney Canada (P&WC),Canada Companies,3,US
PV Labs,Canada Companies,3,US
Seaspan,Canada Companies,3,US
Simthetiq,Canada Companies,3,US
SkyX,Canada Companies,3,US
Stratodynamics Aviation,Canada Companies,3,US
Telesat,Canada Companies,3,US
Viking,Canada Companies,3,US
Chile Companies,"Companies (Competitors, Suppliers, Partners)",2,US
ASMAR Shipyard,Chile Companies,3,US
ENAER,Chile Companies,3,US
China Companies,"Companies (Competitors, Suppliers, Partners)",2,US
607 Institute,China Companies,3,US
Aero Engine Corporation of China (AECC),China Companies,3,US
Aero Engine Academy of China (AEAC),Aero Engine Corporation of China (AECC),4,US
Aerospace Long-March International Trade Co Ltd (ALIT),China Companies,3,US
Aviation Industry Corporation of China (AVIC),China Companies,3,US
Aerodynamics Research Institute,Aviation Industry Corporation of China (AVIC),4,US
AVIC Airborne Systems,Aviation Industry Corporation of China (AVIC),4,US
AVIC Manufacturing Technology Institute (MTI),Aviation Industry Corporation of China (AVIC),4,US
Changhe Aircraft Industries Corporation (CAIC),Aviation Industry Corporation of China (AVIC),4,US
Chengdu Aircraft Industry Group / Chengdu Aerospace Corporation,Aviation Industry Corporation of China (AVIC),4,US
First Aircraft Institute,Aviation Industry Corporation of China (AVIC),4,US
Guizhou Aircraft Industry Corporation (GAIC),Aviation Industry Corporation of China (AVIC),4,US
Hongdu Aviation Industry Corporation (HAIC),Aviation Industry Corporation of China (AVIC),4,US
Shenyang Aircraft Corporation,Aviation Industry Corporation of China (AVIC),4,US
Shenyang Aeroengine Research Institute,Shenyang Aircraft Corporation,5,US
Shenyang Aircraft Design and Research Institute (SADRI),Shenyang Aircraft Corporation,5,US
Xi'an Aircraft Industrial Corporation,Aviation Industry Corporation of China (AVIC),4,US
Xi'an Aero-Engine Corporation (XAEC),Xi'an Aircraft Industrial Corporation,5,US
Baotou Benz,China Companies,3,US
Beijing Deep Blue Aerospace Technology Co. Ltd.,China Companies,3,US
Beijing Guodian Gaoke Technology Co. Ltd.,China Companies,3,US
Beijing PieSat Information Technology Co.,China Companies,3,US
Beijing Science and Technology (ZHZ),China Companies,3,US
Beijing Xinghe Dongli Space Technology Co. Ltd. (Galactic Energy),China Companies,3,US
Beijing Xingtu Exploration Technology Co. Ltd. (Space Trek),China Companies,3,US
Beijing Zhongzi Yanjing Auto Company,China Companies,3,US
Bejing Aerospace Propulsion Technology (BATP),China Companies,3,US
Chang Guang Satellite Technology Co. (CGSTL),China Companies,3,US
China Aerospace Science and Industry Corporation (CASIC),China Companies,3,US
Changfeng Mechanics and Electronics Technology Academy,China Aerospace Science and Industry Corporation (CASIC),4,US
ExPace,China Aerospace Science and Industry Corporation (CASIC),4,US
Xingyun Satellite Co.,China Aerospace Science and Industry Corporation (CASIC),4,US
Xingyun Satellite Constellation,Xingyun Satellite Co.,5,US
China Aerospace Science and Technology Corporation (CASC),China Companies,3,US
Academy of Aerospace Liquid Propulsion Technology (AALPT),China Aerospace Science and Technology Corporation (CASC),4,US
China Academy of Aerospace Aerodynamics (CAAA),China Aerospace Science and Technology Corporation (CASC),4,US
China Academy of Launch Vehicle Technology (CALT),China Aerospace Science and Technology Corporation (CASC),4,US
China Academy of Space Technology (CAST),China Aerospace Science and Technology Corporation (CASC),4,US
China Aerospace Long-March International (ALIT),China Aerospace Science and Technology Corporation (CASC),4,US
China Satellite Communications / China Satcom,China Aerospace Science and Technology Corporation (CASC),4,US
APT Satellite,China Satellite Communications / China Satcom,5,US
ChinaSat,China Satellite Communications / China Satcom,5,US
Shanghai Academy of Spaceflight Technology (SAST),China Aerospace Science and Technology Corporation (CASC),4,US
Tianwen-1,China Aerospace Science and Technology Corporation (CASC),4,US
China Automotive Technology and Research Center (CATARC),China Companies,3,US
Hanyang Special-purpose Vehicle Research Institute,China Automotive Technology and Research Center (CATARC),4,US
China Electronics Technology Group Corporation (CETC),China Companies,3,US
China National Aero-Technology Import & Export Corporation (CATIC),China Companies,3,US
China National Heavy Duty Truck Group,China Companies,3,US
China Precision Machinery Import - Export Corporation (CPMIEC),China Companies,3,US
China Shipbuilding & Offshore International Corporation (CSOC),China Companies,3,US
China Shipbuilding Corporation (CSC),China Companies,3,US
China Shipbuilding Industry Corporation (CSIC),China Shipbuilding Corporation (CSC),4,US
705th Research Institute,China Shipbuilding Industry Corporation (CSIC),5,US
713th Research Institute,China Shipbuilding Industry Corporation (CSIC),5,US
Dalian Shipbuilding Industry,China Shipbuilding Industry Corporation (CSIC),5,US
China State Shipbuilding Corporation (CSSC),China Shipbuilding Corporation (CSC),4,US
Jiangnan Changxingdao,China State Shipbuilding Corporation (CSSC),5,US
China South Industries Group Corporation (CSGC),China Companies,3,US
China Space Sanjiang Group (CSSG),China Companies,3,US
Commercial Aircraft Corporation of China (Comac),China Companies,3,US
CSGC,China Companies,3,US
Dahua,China Companies,3,US
DJI,China Companies,3,US
Dongfeng Motor Group,China Companies,3,US
EHang,China Companies,3,US
FAW Group,China Companies,3,US
FIMI,China Companies,3,US
Galaxy Space,China Companies,3,US
Gas Turbine Research Institute (GTRI),China Companies,3,US
Guangdong Hongda,China Companies,3,US
Han's Eagle,China Companies,3,US
Harwar,China Companies,3,US
HEAD Aerospace Technology,China Companies,3,US
Hikvision,China Companies,3,US
Huawei,China Companies,3,US
Hudong-Zhonghua Shipbuilding,China Companies,3,US
Hytera Communications,China Companies,3,US
iSpace,China Companies,3,US
JZYJ Space Technology,China Companies,3,US
Landspace,China Companies,3,US
Link Space,China Companies,3,US
LinkSpace,China Companies,3,US
MinoSpace,China Companies,3,US
Nanjing Research Institute of Electronics Technology (NRIET),China Companies,3,US
National Polytechnic University (NPU),China Companies,3,US
North Industries Group Corporation (NORINCO),China Companies,3,US
OneSpace,China Companies,3,US
Parrot Laboratory,China Companies,3,US
Poly Technologies,China Companies,3,US
SASTIND,China Companies,3,US
Shaanxi Aircraft Corporation,China Companies,3,US
Shanghai Engineering Center for Microsatellites,China Companies,3,US
Shenyang Institute of Automation (SIA),China Companies,3,US
Sichuan Dahua General Aircraft Manufacturing Company of China,China Companies,3,US
Sichuan Tengden Technology Company,China Companies,3,US
Skyrizon,China Companies,3,US
Spacety,China Companies,3,US
STAR UAV Systems,China Companies,3,US
SX2153,China Companies,3,US
Unidentified Chinese Manufacturer,China Companies,3,US
Wuchang Shipbuilding,China Companies,3,US
Wuhan Guide Infrared,China Companies,3,US
Wuxi Communications Industry Group,China Companies,3,US
Wuxi Industry Development Group,China Companies,3,US
Yunzhou Tech,China Companies,3,US
Zhejiang Geely Holding Group,China Companies,3,US
Zhengzhou Research Institute of Mechanical Engineering,China Companies,3,US
Zhong Tian Guide Control Technology Company (ZT Guide),China Companies,3,US
Zhuhai Orbita Aerospace Science & Technology Co. Ltd.,China Companies,3,US
Ziyan,China Companies,3,US
ZTE,China Companies,3,US
Colombia Companies,"Companies (Competitors, Suppliers, Partners)",2,US
CODALTEC,Colombia Companies,3,US
Corporación de la Industria Aeronáutica Colombiana (CIAC),Colombia Companies,3,US
Croatia Companies,"Companies (Competitors, Suppliers, Partners)",2,US
DOK-ING,Croatia Companies,3,US
Cyprus Companies,"Companies (Competitors, Suppliers, Partners)",2,US
SignalGenerix,Cyprus Companies,3,US
Czech Republic Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Aero Vodochody,Czech Republic Companies,3,US
Bohemia Interactive Simulations,Czech Republic Companies,3,US
Czechoslovak Group,Czech Republic Companies,3,US
"ERA, Omnipol",Czech Republic Companies,3,US
Excalibur Army,Czech Republic Companies,3,US
Groza VHF-UHF Comms Jammer,Czech Republic Companies,3,US
HTP Ostrava,Czech Republic Companies,3,US
LOM Praha,Czech Republic Companies,3,US
Denmark Companies,"Companies (Competitors, Suppliers, Partners)",2,US
GomSpace,Denmark Companies,3,US
MyDefense,Denmark Companies,3,US
Odense,Denmark Companies,3,US
Systematic,Denmark Companies,3,US
Terma,Denmark Companies,3,US
Egypt Companies,"Companies (Competitors, Suppliers, Partners)",2,US
International Marathon United Technology Group (IMUT),Egypt Companies,3,US
Estonia Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Milrem Robotics,Estonia Companies,3,US
European Companies (Multi-National),"Companies (Competitors, Suppliers, Partners)",2,US
Airbus,European Companies (Multi-National),3,US
Airbus - Other Businesses,Airbus,4,US
Acubed,Airbus - Other Businesses,5,US
Airbus BizLab,Airbus - Other Businesses,5,US
Airbus Ventures,Airbus - Other Businesses,5,US
Airbus Defense and Space,Airbus,4,US
"Airbus Communications, Intelligence & Security",Airbus Defense and Space,5,US
Airbus Military Aircraft,Airbus Defense and Space,5,US
Airbus Space Systems,Airbus Defense and Space,5,US
ANSYS SCADE,Airbus Defense and Space,5,US
Construcciones Aeronauticas SA (CASA),Airbus Defense and Space,5,US
OneWeb Satellites,Airbus Defense and Space,5,US
Airbus Helicopters,Airbus,4,US
Airbus Helicopters Inc. [US Subsidiary],Airbus Helicopters,5,US
Helibras,Airbus Helicopters,5,US
NHIndustries,Airbus Helicopters,5,US
"Airbus, Commercial & Airliner",Airbus,4,US
ATR,Airbus,4,US
GPT Special Project Management,Airbus,4,US
SURVEY Copter,Airbus,4,US
Eurofighter,European Companies (Multi-National),3,US
Liebherr Group,European Companies (Multi-National),3,US
Finland Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Bittium,Finland Companies,3,US
DA-Group,Finland Companies,3,US
Deltamarin,Finland Companies,3,US
ICEYE,Finland Companies,3,US
Patria,Finland Companies,3,US
Rauma Marine Constructions (RMC),Finland Companies,3,US
Robonic,Finland Companies,3,US
Sensofusion,Finland Companies,3,US
STX Europe,Finland Companies,3,US
"Turgis and Gaillard, T&G Nordic",Finland Companies,3,US
Varjo,Finland Companies,3,US
VTT Technical Research Centre of Finland,Finland Companies,3,US
France Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Alstom,France Companies,3,US
Arianespace,France Companies,3,US
Arquus,France Companies,3,US
Ascendance Flight Technologies,France Companies,3,US
Atos Information Technology,France Companies,3,US
ATR,France Companies,3,US
AVantix,France Companies,3,US
Capgemini,France Companies,3,US
CNIM,France Companies,3,US
CS Communication & Systèmes,France Companies,3,US
CTA International (CTAI),France Companies,3,US
Dassault,France Companies,3,US
Delair,France Companies,3,US
Donecle,France Companies,3,US
Earthcube,France Companies,3,US
ECA Group,France Companies,3,US
ECA Robotics,ECA Group,4,US
Advanced Magnetic Ranges Australia (AMRA),ECA Robotics,5,US
Eurosam,France Companies,3,US
Eutelsat,France Companies,3,US
Exotrail,France Companies,3,US
Figeac Aero,France Companies,3,US
Flying Whales,France Companies,3,US
Framatome,France Companies,3,US
Gaussin,France Companies,3,US
GDI Simulation,France Companies,3,US
HGH Infrared,France Companies,3,US
iXBlue,France Companies,3,US
Kalray,France Companies,3,US
Mauric,France Companies,3,US
Naval Group,France Companies,3,US
DCNS Zamil,Naval Group,4,US
Naval Group Australia,Naval Group,4,US
Naval Group Pacific,Naval Group,4,US
Nexter,France Companies,3,US
CTA International (CTAI),Nexter,4,US
Novadem,France Companies,3,US
Onera,France Companies,3,US
Orolia,France Companies,3,US
Orolia Defense & Security,Orolia,4,US
Parrot,France Companies,3,US
Potez Aeronautique,France Companies,3,US
Safran,France Companies,3,US
Safran Aerospace Propulsion,Safran,4,US
Safran Aircraft Engines,Safran,4,US
CFM International,Safran Aircraft Engines,5,US
"Safran Aircraft Equipment, Defence, and Aerosystems",Safran,4,US
Safran Aerosystems,"Safran Aircraft Equipment, Defence, and Aerosystems",5,US
Safran Electrical & Power,"Safran Aircraft Equipment, Defence, and Aerosystems",5,US
Safran Electronics & Defence Businesses,"Safran Aircraft Equipment, Defence, and Aerosystems",5,US
Safran Aircraft Interiors,Safran,4,US
Safran Corporate Ventures,Safran,4,US
Zodiac Aerospace S.A.,Safran,4,US
Safran Corporate Ventures,Zodiac Aerospace S.A.,5,US
Thales,France Companies,3,US
Defence and Security,Thales,4,US
Defence Mission Systems,Defence and Security,5,US
Thales Alenia Space,Thales,4,US
Ital-GovSatCom,Thales Alenia Space,5,US
Thales Australia,Thales,4,US
Australian Munitions (AM),Thales Australia,5,US
Thales Avionics,Thales,4,US
Thales Naval Systems,Thales,4,US
Thales Netherlands,Thales,4,US
Thales Reliance Defence Systems,Thales,4,US
Thales UK,Thales,4,US
Thales UK- Land and Air Systems,Thales,4,US
Thales Optronics,Thales UK- Land and Air Systems,5,US
Thales USA,Thales,4,US
ThalesRaytheonSystems,Thales,4,US
ThalesRaytheonSystems,France Companies,3,US
ThrustMe,France Companies,3,US
Total,France Companies,3,US
Saft,Total,4,US
UnseenLabs,France Companies,3,US
VoltAero,France Companies,3,US
Germany Companies,"Companies (Competitors, Suppliers, Partners)",2,US
Alcan Systems,Germany Companies,3,US
APUS,Germany Companies,3,US
Artec,Germany Companies,3,US
Blohm+Voss,Germany Companies,3,US
BMW,Germany Companies,3,US
Daimler AG,Germany Companies,3,US
Mercedez-Benz,Daimler AG,4,US
Diehl Defence,Germany Companies,3,US
Dornier,Germany Companies,3,US
Dynamit Nobel Defence,Germany Companies,3,US
Elektroniksystem- und Logistik-GmbH,Germany Companies,3,US
Exolaunch,Germany Companies,3,US
Fassmer,Germany Companies,3,US
Fraundorfer Aeronautics,Germany Companies,3,US
"Fraunhofer Institute for Communication, Information Processing and Ergonomics FKIE",Germany Companies,3,US
German Aerospace Center (DLR),Germany Companies,3,US
German Naval Yards,Germany Companies,3,US
Grob Aircraft,Germany Companies,3,US
Heckler & Koch,Germany Companies,3,US
Hensoldt,Germany Companies,3,US
European Defensive Aids Sub System (EuroDASS) [Consortium],Hensoldt,4,US
Hensoldt South Africa,Hensoldt,4,US
Vincorion,Jenoptik,4,US
Krauss-Maffei Wegmann (KMW),Germany Companies,3,US
Artec,Krauss-Maffei Wegmann (KMW),4,US
Lilium,Germany Companies,3,US
Lufthansa,Germany Companies,3,US
Lurssen Werft,Germany Companies,3,US
MAN Energy Solutions,Germany Companies,3,US
Marine Engines & Systems,MAN Energy Solutions,4,US
Microdrones,Germany Companies,3,US
MT Propeller,Germany Companies,3,US
MT-Propeller Entwicklung GmbH,Germany Companies,3,US
MTU Aero Engines,Germany Companies,3,US
OHB System AG,Germany Companies,3,US
Panavia,Germany Companies,3,US
Peene-Werft,Germany Companies,3,US
Porsche AG,Germany Companies,3,US
PTScientists,Germany Companies,3,US
Reiser,Germany Companies,3,US
Rheinland Air Service,Germany Companies,3,US
Rheinmetall,Germany Companies,3,US
Artec,Rheinmetall,4,US
Raytheon Rheinmetall Land Systems,Rheinmetall,4,US
Rheinmetall Defence UK,Rheinmetall,4,US
Rheinmetall BAE Systems Land,Rheinmetall Defence UK,5,US
CTA International (CTAI),Rheinmetall BAE Systems Land,6,US
Rheinmetall Electronic Solutions,Rheinmetall,4,US
Rheinmetall Fraen Fuzes,Rheinmetall,4,US
Rheinmetall Vehicle Systems,Rheinmetall,4,US
Rheinmetall Weapons and Ammunition,Rheinmetall,4,US
Rohde & Schwarz,Germany Companies,3,US
Siemens,Germany Companies,3,US
SIG Sauer,Germany Companies,3,US
SPAES GmbH,Germany Companies,3,US
Taurus Systems,Germany Companies,3,US
ThyssenKrupp,Germany Companies,3,US
