name,parent
BCC CAMBRIDGE FINANCING SOLUTION (TL) LP,BCC CAMBRIDGE (GP LOANS) SARL
BCC CAMBRIDGE FINANCING SOLUTION (REVOLVERS) LP,BCC CAMBRIDGE (GP REVOLVERS) SARL
BLC II MASTER FUND LP,BLC II FUND B LP
EVOLUTION CREDIT PARTNERS I LP,EVOLUTION CREDIT PARTNERS I (CAYMAN) LP
HIP BERMUDA REINSURANCE I LIMITED,HAMPDEN INSURANCE PARTNERS I LP
NOMINA (NO 1253) LIMITED,HAMPDEN INSURANCE PARTNERS I LP
EMERALD CATASTROPHE FUND LTD,Harvard Mgmt PE Corp
GAXL (HMPEC) LTD,Harvard Mgmt PE Corp
NIMBUS WEATHER FUND LTD,Harvard Mgmt PE Corp
HAMPDEN INSURANCE PARTNERS I LP,Harvard Mgmt PE Corp
THE BREITHORN FUND LP,Harvard Mgmt PE Corp
AQUILA INC,Harvard Mgmt PE Corp
ARA INC,Harvard Mgmt PE Corp
ASIA LANDMARK SPECIAL FUND LTD,Harvard Mgmt PE Corp
BLC II FUND B LP,Harvard Mgmt PE Corp
CAMBRIDGE SQUARE INSTITUTIONAL FUND LP,Harvard Mgmt PE Corp
EVOLUTION CREDIT PARTNERS I (CAYMAN) LP,Harvard Mgmt PE Corp
EVOLUTION CREDIT PARTNERS I SLP LLC,Harvard Mgmt PE Corp
GAVEA INVESTMENT FUND II B LP,Harvard Mgmt PE Corp
HMC JUWEEL INVESTORS LP,Harvard Mgmt PE Corp
HOUND PARTNERS LONG FUND LTD,Harvard Mgmt PE Corp
ILS PROPERTY & CASUALTY FEEDER FUND II LP,Harvard Mgmt PE Corp
LINDENE LTD,Harvard Mgmt PE Corp
NEW VERNON INDIA (CAYMAN) FUND LP,Harvard Mgmt PE Corp
PAG ASIA ALPHA FEEDER LIMITED,Harvard Mgmt PE Corp
TPRV CAPITAL FUND LTD,Harvard Mgmt PE Corp
THE TRITON FUND II NO 2 LP,Harvard Mgmt PE Corp
XILOS DAKOTA SEPARATE LIMITED PARTNERSHIP,Harvard Mgmt PE Corp
LUXCO LENDING FUND SARL,Harvard Mgmt PE Corp
CC VII HOLDINGS LLC,Harvard Mgmt PE Corp
TDR SCOTLAND LP,Harvard Mgmt PE Corp
