name,parent
"Companies (Competitors, Suppliers, Partners)",
Argentina Companies,"Companies (Competitors, Suppliers, Partners)"
Fabrica Argentina de Aviones (FAdeA),Argentina Companies
INVAP,Argentina Companies
Australia Companies,"Companies (Competitors, Suppliers, Partners)"
Acacia Systems,Australia Companies
Airspeed,Australia Companies
Allied Data Systems,Australia Companies
AME Systems,Australia Companies
AMOG Consulting,Australia Companies
Advanced Magnetic Ranges Australia (AMRA),AMOG Consulting
AOS Group,Australia Companies
Aquabotix,Australia Companies
ArchTIS,Australia Companies
ASC Shipbuilding,Australia Companies
Ascent Vision,Australia Companies
Aurecon,Australia Companies
Austal,Australia Companies
Australian Defence Industries (ADI),Australia Companies
Australian Maritime Shipbuilding Export Group (AMSEG),Australia Companies
Australian Munitions (AM),Australia Companies
Axiom Precision Manufacturing,Australia Companies
Bisalloy Steels,Australia Companies
Blackbird Ventures,Australia Companies
Cablex,Australia Companies
Calytrix Technologies,Australia Companies
CEA Technologies,Australia Companies
CHC Australia,Australia Companies
Citadel Group,Australia Companies
Clearbox Systems,Australia Companies
Conflux Technology,Australia Companies
Cyborg Dynamics,Australia Companies
Daronmont,Australia Companies
DEWC,Australia Companies
DMTC,Australia Companies
DroneShield,Australia Companies
DST Group,Australia Companies
Eagle Australasia,Australia Companies
ECLIPS,Australia Companies
Electro Optic Systems,Australia Companies
Audacy Corporation,Electro Optic Systems
Collinear,Electro Optic Systems
CNX System,Collinear
EM Solutions,Electro Optic Systems
EOS Defence Systems,Australia Companies
Ferra,Australia Companies
Fleet Space Technologies,Australia Companies
GaardTech,Australia Companies
Gentium Solutions,Australia Companies
Gilmour Space,Australia Companies
Grok Ventures,Australia Companies
Helicopter Logistics,Australia Companies
HeliMods,Australia Companies
Heston MRO,Australia Companies
HI Fraser,Australia Companies
Indianic Group,Australia Companies
Kennards Hire,Australia Companies
Kennard Family,Kennards Hire
Kinetic Fighting,Australia Companies
K-TIG,Australia Companies
Lintek,Australia Companies
Lynas,Australia Companies
Macquarie Capital,Australia Companies
MagniX,Australia Companies
Marand,Australia Companies
Memko,Australia Companies
Microflite,Australia Companies
Myriota,Australia Companies
Naeco,Australia Companies
Naval Ship Management,Australia Companies
NIOA,Australia Companies
Nova Systems,Australia Companies
Optus,Australia Companies
Optus-11,Optus
Orbital UAV,Australia Companies
Pennant Australasia,Australia Companies
Praesidium Global,Australia Companies
PREDICT Australia,Australia Companies
Quickstep,Australia Companies
RFDesign,Australia Companies
Rusada,Australia Companies
Ryan Aerospace,Australia Companies
Saber Astronautics,Australia Companies
Seeing Machines,Australia Companies
Sigma Bravo,Australia Companies
Silentium Defence,Australia Companies
Sky and Space Global,Australia Companies
SPEE3D,Australia Companies
Speedcast International,Australia Companies
Swoop Aero,Australia Companies
Synthesis Technologies,Australia Companies
SYPAQ Systems,Australia Companies
TAE Aerospace,Australia Companies
TAFE NSW,Australia Companies
Tagai Management Consultants,Australia Companies
Tenix / AMECON,Australia Companies
Thomas Global Systems,Australia Companies
Toll Helicopters,Australia Companies
Trusted Autonomous Systems Cooperative Research Centre (DCRC),Australia Companies
Universal Motion Simulator,Australia Companies
Varley,Australia Companies
Varley Rafael Australia,Varley
Xenon Systems,Australia Companies
Austria Companies,"Companies (Competitors, Suppliers, Partners)"
Diamond Aircraft Industries,Austria Companies
Dimetor,Austria Companies
Frequentis,Austria Companies
Schiebel,Austria Companies
Scotty Superior SATCOM Solutions,Austria Companies
Bangladesh Companies,"Companies (Competitors, Suppliers, Partners)"
Chittagong Dry Dock Limited (CCDL),Bangladesh Companies
Belarus Companies,"Companies (Competitors, Suppliers, Partners)"
Baranovichi Aircraft Repair Plant (BARP) No. 558,Belarus Companies
JSC Agat-Control Systems,Belarus Companies
JSC TsNIP,Belarus Companies
KB Radar,Belarus Companies
MKZT,Belarus Companies
TSP OKB,Belarus Companies
Volat (OJSC Minsk Wheeled Tractor Plant),Belarus Companies
Belgium Companies,"Companies (Competitors, Suppliers, Partners)"
AeroSimulators Group,Belgium Companies
AIRobot,Belgium Companies
ALX Systems,Belgium Companies
Asco Industries,Belgium Companies
Belgium Naval & Robotics,Belgium Companies
BMT Group,Belgium Companies
Celestia Technologies,Belgium Companies
Cockerill,Belgium Companies
Fabrique Nationale Herstal,Belgium Companies
Flanders Ship Repair,Belgium Companies
Hexagon,Belgium Companies
Noordzee Helikopters Vlaanderen (NHV) Group,Belgium Companies
OIP Sensor Systems,Belgium Companies
SABCA,Belgium Companies
Sabena Aerospace,Belgium Companies
Xenics,Belgium Companies
Brazil Companies,"Companies (Competitors, Suppliers, Partners)"
Akaer,Brazil Companies
Alianca Eletroquimica (AEQ),Brazil Companies
Ares,Brazil Companies
Avibras,Brazil Companies
Desenvolvimento Aeronautico (DESAER),Brazil Companies
Eleb,Brazil Companies
Embraer,Brazil Companies
Boeing/Embraer - Defense,Embraer
EmbraerX,Embraer
Emgepron,Brazil Companies
Helibras,Brazil Companies
IACIT,Brazil Companies
Laflamme Aero,Brazil Companies
Sistemas Integrados de Alto Teor Tecnol�gico (SIATT),Brazil Companies
Tempest Security Intelligence,Brazil Companies
Bulgaria Companies,"Companies (Competitors, Suppliers, Partners)"
